Version Num, 1.00, 
Building Num, 1, 
Room Num, 12, 
Occupant Num, 21, 
Start Time, 2015-1-0, 
End Time, 2015-1-10, 
step,time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
206, 2015/1/1 17:10:00, 1,1,9,9,10,2,10,3,9,11,10,10,5,5,5,3,1,6,10,7,9,
207, 2015/1/1 17:15:00, 1,1,9,9,10,11,10,3,9,11,10,10,5,11,5,3,2,6,10,7,9,
208, 2015/1/1 17:20:00, 1,1,9,9,10,11,10,3,9,8,10,10,5,11,5,3,6,6,10,7,9,
209, 2015/1/1 17:25:00, 1,7,9,9,10,11,10,3,9,4,10,10,5,5,5,6,6,6,10,7,9,
210, 2015/1/1 17:30:00, 1,7,9,9,10,11,10,3,9,4,10,10,5,5,5,6,6,6,10,7,9,
211, 2015/1/1 17:35:00, 1,7,9,9,10,3,10,3,9,4,10,10,5,12,5,6,6,6,10,7,9,
212, 2015/1/1 17:40:00, 1,7,9,9,10,3,10,3,9,4,10,10,5,12,5,6,2,6,10,7,9,
213, 2015/1/1 17:45:00, 1,11,9,9,10,3,10,3,9,4,10,10,5,12,0,6,2,6,10,7,9,
214, 2015/1/1 17:50:00, 0,11,9,9,10,3,10,3,9,4,10,10,5,12,0,11,11,6,10,7,9,
215, 2015/1/1 17:55:00, 0,11,9,9,10,3,10,3,9,4,10,10,5,5,0,11,11,6,10,7,9,
216, 2015/1/1 18:0:00, 0,1,9,9,10,3,10,3,9,4,10,10,5,5,0,11,11,6,10,7,9,
217, 2015/1/1 18:5:00, 0,1,3,7,4,3,6,3,0,4,0,12,5,5,0,6,3,6,0,0,8,
218, 2015/1/1 18:10:00, 0,1,3,7,6,3,11,3,0,4,0,12,5,5,0,6,12,0,0,0,8,
219, 2015/1/1 18:15:00, 0,0,0,7,0,0,11,3,0,4,0,11,0,5,0,6,8,0,0,0,0,
220, 2015/1/1 18:20:00, 0,0,0,2,0,0,0,3,0,8,0,11,0,5,0,6,8,0,0,0,0,
221, 2015/1/1 18:25:00, 0,0,0,2,0,0,0,3,0,8,0,4,5,5,0,6,0,0,0,0,0,
222, 2015/1/1 18:30:00, 0,0,0,2,0,0,0,3,0,0,0,4,5,5,0,0,0,0,0,0,0,
