step,time,0,1,2,3,4,5,6,7,8,
325, 2015/1/5 12:20:00,2,2,1,1,0,0,0,0,0,
326, 2015/1/5 12:40:00,1,2,1,2,0,0,0,0,0,
327, 2015/1/5 13:0:00,2,0,1,1,1,0,0,0,1,
328, 2015/1/5 13:20:00,0,3,2,1,0,0,0,0,0,
329, 2015/1/5 13:40:00,0,2,1,1,0,1,0,1,0,
330, 2015/1/5 14:0:00,0,1,2,2,0,0,0,1,0,
331, 2015/1/5 14:20:00,0,1,0,0,0,0,5,0,0,
332, 2015/1/5 14:40:00,0,0,0,0,0,0,5,1,0,
333, 2015/1/5 15:0:00,0,1,0,0,0,0,5,0,0,
334, 2015/1/5 15:20:00,0,1,0,0,0,0,5,0,0,
335, 2015/1/5 15:40:00,0,0,0,0,0,0,5,1,0,
336, 2015/1/5 16:0:00,0,1,0,0,0,0,5,0,0,
337, 2015/1/5 16:20:00,0,1,0,0,0,0,5,0,0,
338, 2015/1/5 16:40:00,1,0,0,1,1,1,0,2,0,
339, 2015/1/5 17:0:00,0,0,0,0,0,0,6,0,0,
340, 2015/1/5 17:20:00,0,0,0,0,0,0,6,0,0,
341, 2015/1/5 17:40:00,0,0,0,0,0,0,6,0,0,
342, 2015/1/5 18:0:00,0,0,0,0,0,0,6,0,0,
343, 2015/1/5 18:20:00,6,0,0,0,0,0,0,0,0,
344, 2015/1/5 18:40:00,6,0,0,0,0,0,0,0,0,
345, 2015/1/5 19:0:00,6,0,0,0,0,0,0,0,0,
346, 2015/1/5 19:20:00,6,0,0,0,0,0,0,0,0,
347, 2015/1/5 19:40:00,6,0,0,0,0,0,0,0,0,
348, 2015/1/5 20:0:00,6,0,0,0,0,0,0,0,0,
349, 2015/1/5 20:20:00,6,0,0,0,0,0,0,0,0,
350, 2015/1/5 20:40:00,6,0,0,0,0,0,0,0,0,
351, 2015/1/5 21:0:00,6,0,0,0,0,0,0,0,0,
352, 2015/1/5 21:20:00,6,0,0,0,0,0,0,0,0,
353, 2015/1/5 21:40:00,6,0,0,0,0,0,0,0,0,
354, 2015/1/5 22:0:00,6,0,0,0,0,0,0,0,0,
355, 2015/1/5 22:20:00,6,0,0,0,0,0,0,0,0,
356, 2015/1/5 22:40:00,6,0,0,0,0,0,0,0,0,
357, 2015/1/5 23:0:00,6,0,0,0,0,0,0,0,0,
358, 2015/1/5 23:20:00,6,0,0,0,0,0,0,0,0,
359, 2015/1/5 23:40:00,6,0,0,0,0,0,0,0,0,
360, 2015/1/6 0:0:00,6,0,0,0,0,0,0,0,0,
361, 2015/1/6 0:20:00,6,0,0,0,0,0,0,0,0,
362, 2015/1/6 0:40:00,6,0,0,0,0,0,0,0,0,
363, 2015/1/6 1:0:00,6,0,0,0,0,0,0,0,0,
364, 2015/1/6 1:20:00,6,0,0,0,0,0,0,0,0,
